#,Job_ID,WeatherFile,ModelFile,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,@@P11@@,@@P12@@,@@P13@@,@@P14@@,@@P15@@,@@location@@,c0: A1,c1: A2,c2: A3,c3: A4,c4: A5,c5: A6,c6: A7,c7: A8,c8: P1,c9: P2,c10: P3,c11: P4,c12: P5,c13: P6,c14: P7,c15: P8,c16: Ptimestamp,c17: SPC_SenI_Fac,c18: SPC_SenD_Fac,c19: SPC_Lat_Fac,c20: SPC_Tot_Fac,c21: Ptime_SPC,c22: SPC_SenSizing_Fac,c23: SPC_SenI2_Fac,c24: SPC_SenI+D_Fac,c25: SPC_AirFrac,c26: SPC_AirFlow,c27: SPC_AirFlowperSPC,c28: P1_April,c29: P2_April,c30: P3_April,c31: P4_April,c32: P5_April,c33: P6_April,c34: P7_April,c35: P8_April,c36: SPC2_April,c37: SPC3_April,c38: P1_May,c39: P2_May,c40: P3_May,c41: P4_May,c42: P5_May,c43: P6_May,c44: P7_May,c45: P8_May,c46: SPC2_May,c47: SPC3_May,c48: P1_June,c49: P2_June,c50: P3_June,c51: P4_June,c52: P5_June,c53: P6_June,c54: P7_June,c55: P8_June,c56: SPC2_June,c57: SPC3_June,c58: P1_July,c59: P2_July,c60: P3_July,c61: P4_July,c62: P5_July,c63: P6_July,c64: P7_July,c65: P8_July,c66: SPC2_July,c67: SPC3_July,c68: P1_August,c69: P2_August,c70: P3_August,c71: P4_August,c72: P5_August,c73: P6_August,c74: P7_August,c75: P8_August,c76: SPC2_August,c77: SPC3_August,c78: P1_September,c79: P2_September,c80: P3_September,c81: P4_September,c82: P5_September,c83: P6_September,c84: P7_September,c85: P8_September,c86: SPC2_September,c87: SPC3_September,c88: SPC2_A_CoolEN_Tran,c89: SPC3_A_Cool_Coils,c90: SPC2_P_CoolEN_Tran,c91: SPC3_P_Cool_Coils,c92: Cooling_Not_Met
0,C1_NA_6_Large,SGP_Singapore.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C1,6848216.53,2178220.72,204738.46,347397.31,209953.78,0,0,0,1883155.38,569500.04,81717.2,72820.7,40080.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863178.88,0,74953.36,71174.8,40080.92,0,0,0,1506702.48,3092695.19,1855523.73,0,66861.5,69567.04,40080.92,0,0,0,1417133.8,3027102.6,1883155.38,569500.04,81717.2,72820.7,40080.92,0,0,0,1527222.67,3247461.81,1855166.6,0,80687.71,68886.71,40080.92,0,0,0,1545554.72,2977186.39,1843510.79,0,73019.64,67745.94,40080.92,0,0,0,1475506.69,2851369.79,1834556.9,0,57780.65,66635.2,40080.92,0,0,0,1295018.52,2770090.67,5082039.02,1.08E+07,1624722.36,3274317.03,0
1,C1_NA_6_Medium,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C1,752473.35,278253.68,24041.59,73.94,0,0,0,0,230289.6,92962.46,10193.93,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228934.6,0,9656.49,8.44,0,0,0,0,145987.51,339327.73,223258.53,0,10191.77,8.44,0,0,0,0,150043.54,330561.66,230289.6,92962.46,10193.93,8.44,0,0,0,0,150077.31,361544.65,224152.03,0,9982.01,8.44,0,0,0,0,148045.66,324801.57,219536.76,0,9715.35,8.44,0,0,0,0,145948.91,317497.14,217408.8,0,9519.73,8.44,0,0,0,0,143954.91,307679.69,473870.75,1157332.04,150843.76,361544.65,2.17
2,C1_NA_6_Small,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.311,0.16,0.39,3.23646,10.76,10.76,18.58,24,0,0.000673,0.36,3.66684,0,0,0,C1,76924.8,23542.5,8468.77,0,0,0,0,0,21411.95,6294.24,1814.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21207.8,0,1814.6,0,0,0,0,0,14593.63,32969.25,21254,0,1814.6,0,0,0,0,0,14367.06,34031.4,21240.95,6123.25,1814.6,0,0,0,0,0,10080,27040.3,20822.31,0,1814.6,0,0,0,0,0,9902.32,26547.74,20628.91,0,1814.6,0,0,0,0,0,13750.63,31451.08,20427.36,0,1814.6,0,0,0,0,0,13717.79,30428.68,40725.77,102802.8,15027.34,38986.77,0
3,C2_NA_2_Large,EGY_Cairo.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C2,5471642.82,909779.94,175413.81,296190.44,182719.75,0,0,0,1764885.89,476086.16,71000.87,63457.3,35305.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603416.7,0,75809.95,64145.34,35305.04,0,0,0,1591224.63,2146117.13,1674590.87,0,72074.55,58146.9,35305.04,0,0,0,1537375.29,2183496.64,1745571.85,454708.9,75753.36,60768.03,35305.04,0,0,0,1608055.39,2647667.24,1754744.34,0,65845.51,62829.68,35305.04,0,0,0,1478869.58,2750652.43,1764885.89,0,71000.87,63457.3,35305.04,0,0,0,1540430.05,2842261.75,1746843.53,0,52387.71,57944.69,35305.04,0,0,0,1328550.76,2171754.9,4299306.61,5385940.06,1780009.13,2946429.25,0
4,C2_NA_2_Medium,EGY_Cairo.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C2,619197.91,145635.33,19638.31,73.94,0,0,0,3852.29,245443.08,107499.96,10809.9,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222801.56,0,9822.93,8.44,0,0,0,0,157923.35,236174.2,229753.48,0,9433.19,8.44,0,0,0,0,155365.95,245227.54,245443.08,107499.96,10809.9,8.44,0,0,0,0,167086.02,265789.11,225173.11,0,8916.49,8.44,0,0,0,0,151052.22,309437.1,232557.26,0,9384.26,8.44,0,0,0,0,155227.04,315045.92,215180.92,0,8236.69,8.44,0,0,0,0,144521.46,265367.91,418701.1,544198.18,169123.56,315890.72,0.17
5,C2_NA_2_Small,EGY_Cairo.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.311,0.16,0.39,3.23646,10.76,10.76,18.58,24,0,0.000673,0.36,3.66684,0,0,0,C2,68021.55,12921.42,10203.11,0,0,0,0,0,23197.21,10026.51,2170.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21233.19,0,2170.6,0,0,0,0,0,15439.48,24019.88,21543.79,0,2170.6,0,0,0,0,0,15933.61,25096.31,23197.21,10026.51,2170.6,0,0,0,0,0,17885.84,27991.21,21551.82,0,2170.6,0,0,0,0,0,15193.05,30425.63,22190.18,0,2170.6,0,0,0,0,0,15701.88,31047.17,21745.15,0,2170.6,0,0,0,0,0,12361.68,23294.42,33685.18,52259.06,17959.18,31047.17,0
6,C3_NA_4_Large,GRC_Athens.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C3,5119578.2,619126.6,158347.21,266653.2,168108.82,0,0,0,1693082.24,417115.62,66803.93,57997.05,32129.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379963.37,0,37335.92,54022.58,32129.12,0,0,0,993229.58,946537.53,1526941.46,0,43561.91,53630.86,32129.12,0,0,0,1133812.31,1614329.94,1616441.23,339284.44,72935.85,53055.3,32129.12,0,0,0,1536787.8,1953896.78,1683965.8,0,65143.24,57189.61,32129.12,0,0,0,1444878.25,2447977.71,1693082.24,0,66803.93,57997.05,32129.12,0,0,0,1483233.27,2627328.58,1673594.96,0,55448.53,55761.83,32129.12,0,0,0,1322299.66,2336033.23,3483658.33,3817854.47,1693409.7,2675723.43,0
7,C3_NA_4_Medium,GRC_Athens.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,573561.94,91393.8,17640.48,73.94,0,0,0,14512.42,241752.93,0,2681.97,8.44,0,0,0,105803.41,0,0,0,0,0,0,0,0,0,0,0,0,160192.56,0,5513.1,8.44,0,0,0,0,111336.86,104012.02,188388.45,0,6578.26,8.44,0,0,0,0,124227.01,244350.13,210766.87,73732.13,9901.53,8.44,0,0,0,0,154229.92,223709.46,216133.75,0,9485.29,8.44,0,0,0,0,150944.6,260815.4,216159.26,0,10885.63,8.44,0,0,0,0,161255.55,232905.12,202046.86,0,7502.66,8.44,0,0,0,0,132822.11,261823.97,357741.69,356687.69,161778.93,292281.24,0
8,C3_NA_4_Small,GRC_Athens.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.311,0.16,0.39,3.23646,10.76,10.76,18.58,24,0,0.000673,0.36,3.66684,0,0,0,C3,62011.29,7883.16,9239.94,0,0,0,0,0,20499.12,7525.38,1973.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16079.83,0,1973.63,0,0,0,0,0,9397.42,13463.48,17153.75,0,1973.63,0,0,0,0,0,12139.05,17596.94,19475.57,6501.83,1973.63,0,0,0,0,0,14881.07,21719.99,20499.12,0,1973.63,0,0,0,0,0,16003.96,26929.03,20447.44,0,1973.63,0,0,0,0,0,15100.09,27823.16,19839.83,0,1973.63,0,0,0,0,0,14235.58,28569.18,27342.97,33885.51,16566.77,28960.7,0
9,C4_NA_1_Large,CHN_Beijing.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5011771.04,544197.26,161393.54,263680.79,135063.09,0,0,0,2052483.56,562214.84,264541.17,68815,37876.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464859.09,0,39163.23,60851.2,37876.02,0,0,0,997734.44,1299364.41,1632652.01,0,42146.91,62929.21,37876.02,0,0,0,1055384.09,2029387.38,1763877.68,473472.22,71102.66,62390.27,37876.02,0,0,0,1437213.43,2521489.09,1848191.73,0,80820.09,68815.02,37876.02,0,0,0,1398055.19,3158006.66,2052483.56,0,264541.17,68815,37876.02,0,0,0,1324818.56,3122008.3,1820407.09,0,72856.28,68290.37,37876.02,0,0,0,1444480.97,2970012.28,2920468.92,3405816.29,1601270.34,3284522.38,5.33
