#,Job_ID,WeatherFile,ModelFile,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,@@P11@@,@@P12@@,@@P13@@,@@P14@@,@@P15@@,@@location@@,c0: A1,c1: A2,c2: A3,c3: A4,c4: A5,c5: A6,c6: A7,c7: A8,c8: P1,c9: P2,c10: P3,c11: P4,c12: P5,c13: P6,c14: P7,c15: P8,c16: Ptimestamp,c17: SPC_SenI_Fac,c18: SPC_SenD_Fac,c19: SPC_Lat_Fac,c20: SPC_Tot_Fac,c21: Ptime_SPC,c22: SPC_SenSizing_Fac,c23: SPC_SenI2_Fac,c24: SPC_SenI+D_Fac,c25: SPC_AirFrac,c26: SPC_AirFlow,c27: SPC_AirFlowperSPC,c28: P1_June,c29: P2_June,c30: P3_June,c31: P4_June,c32: P5_June,c33: P6_June,c34: P7_June,c35: P8_June,c36: SPC_ET_June,c37: P1_July,c38: P2_July,c39: P3_July,c40: P4_July,c41: P5_July,c42: P6_July,c43: P7_July,c44: P8_July,c45: SPC_ET_July,c46: P1_August,c47: P2_August,c48: P3_August,c49: P4_August,c50: P5_August,c51: P6_August,c52: P7_August,c53: P8_August,c54: SPC_ET_August,c55: An_Tes1,c56: P_Test1,c57: P_Time_Test1,c58: An_Tes2,c59: P_Test2,c60: P_Time_Test2,c61: An_Tes3,c62: P_Test3,c63: P_Time_Test3,c64: Cooling_Not_Met
0,Case_C1_Medium_0001,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.047857143,0.196428571,1.857142857,11.42857143,19.71428571,11.42857143,22.42857143,0,0.000885714,0.464285714,2.671428571,0,0,0,C1,1086361.73,434904.58,43502.26,73.94,0,0,0,2.89,339533.68,148770.55,15687.06,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339533.68,0,15687.06,8.44,0,0,0,0,201767.31,328406.05,0,15462.6,8.44,0,0,0,0,200010.69,324437.11,0,15197.74,8.44,0,0,0,0,195962.54,1619071.22,511307.2,0,895757.48,294166.41,0,723313.73,324568.23,0,6.33
1,Case_C1_Medium_0002,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.047857143,0.196428571,1.857142857,11.42857143,19.71428571,11.42857143,22.42857143,0,0.000885714,0.464285714,2.671428571,0,0.571428571,0,C1,1188949.92,456710.89,47540.71,73.94,0,0,0,0,341210.71,150154.22,15980.42,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341210.71,0,15980.42,8.44,0,0,0,0,205220.81,330235.16,0,15792.33,8.44,0,0,0,0,203711.08,327862.23,0,17225.31,8.44,0,0,0,0,210717.22,1691111.08,630522.73,0,953948.32,298310.47,0,737162.76,384794.88,0,48
2,Case_C1_Medium_0003,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.047857143,0.196428571,1.857142857,11.42857143,19.71428571,11.42857143,22.42857143,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,1602060.73,777675.31,139687.09,73.94,0,0,0,0,445573.51,225182.22,45315.22,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444188.3,0,45315.22,8.44,0,0,0,0,164706.97,438919.2,0,45315.22,8.44,0,0,0,0,169333.39,437967.95,0,45315.22,8.44,0,0,0,0,150827.4,2900213.5,790040.15,0,1232422.5,445858.13,0,1667791,536428.43,0,2968.17
3,Case_C1_Medium_0004,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.047857143,0.196428571,1.857142857,11.42857143,10.57142857,11.42857143,22.42857143,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,1326670.52,685483.29,129831.56,73.94,0,0,0,0,363531.22,195134.67,38871.89,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362109.05,0,38871.89,8.44,0,0,0,0,121036.12,357579.89,0,38871.89,8.44,0,0,0,0,125251.05,356638.01,0,38871.89,8.44,0,0,0,0,108043.52,2562973.72,692600.88,0,1053782.76,391325.35,0,1509190.96,488498.31,0,3065.5
4,Case_C1_Medium_0005,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.047857143,0.439285714,1.857142857,11.42857143,10.57142857,11.42857143,22.42857143,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,1338689.39,719222.25,108111.32,73.94,0,0,0,0.14,399625.3,224834.33,45266.31,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398254.8,0,45266.31,8.44,0,0,0,0,149104.73,392981.05,0,45266.31,8.44,0,0,0,0,152993.92,392028.71,0,45266.31,8.44,0,0,0,0,133938.26,2714528.83,788645.47,0,1133547.8,441319.04,0,1580981.03,538290.53,0,2029.17
5,Case_C1_Medium_0006,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.047857143,0.047857143,0.439285714,1.857142857,11.42857143,10.57142857,11.42857143,22.42857143,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,1345433.45,727443.11,106634.44,73.94,0,0,0,0.22,403948.93,228391.2,46033.07,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402593.74,0,46033.07,8.44,0,0,0,0,155421.95,397230.73,0,46033.07,8.44,0,0,0,0,159097.24,396264.16,0,46033.07,8.44,0,0,0,0,138221.99,2747391.3,799942.04,0,1149228.67,448072.97,0,1598162.63,547822.47,0,1924.5
6,Case_C1_Medium_0007,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.047857143,0.047857143,0.439285714,1.857142857,11.42857143,10.57142857,20,22.42857143,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,1311520.99,697775.43,102389.78,73.94,0,0,0,0.1,395374.27,221323.88,44525.73,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394011.01,0,44525.73,8.44,0,0,0,0,145739.9,388823.3,0,44525.73,8.44,0,0,0,0,149152.35,387894.82,0,44525.73,8.44,0,0,0,0,129296.47,2641348.98,777390.1,0,1100894.78,436074.01,0,1540454.2,532449.15,0,2008.5
7,Case_C1_Medium_0008,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.047857143,0.047857143,0.439285714,1.857142857,11.42857143,10.57142857,20,25.28571429,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,968377.87,428938.15,28084.04,73.94,0,0,0,0,351363.52,185114.1,36724.75,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349937.88,0,36724.75,8.44,0,0,0,0,136474.89,343863.81,0,36376.73,8.44,0,0,0,0,108078.63,343709.34,0,35926.79,8.44,0,0,0,0,108176.95,1730555.3,659574.11,0,695967.48,326105.52,0,1034587.81,469256.97,0,346.83
8,Case_C1_Medium_0009,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.047857143,0.005,0.439285714,1.857142857,11.42857143,10.57142857,20,25.28571429,0,0.003628571,0.464285714,2.671428571,0,0.571428571,0,C1,963093.9,424233.48,27504.76,73.94,0,0,0,0,351080.39,184879.84,36675.89,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349648.96,0,36673.28,8.44,0,0,0,0,133074.49,343615.85,0,36342.86,8.44,0,0,0,0,108294.15,343571.84,0,35910.55,8.44,0,0,0,0,108239.15,1712430.12,658814.01,0,685630.88,325423.79,0,1026799.23,468860.34,0,335.33
9,Case_C1_Medium_0010,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.047857143,0.005,0.439285714,1.857142857,11.42857143,10.57142857,20,25.28571429,0,0.003628571,1.292857143,2.671428571,0,0.571428571,0,C1,975853.47,436313.49,28184.31,73.94,0,0,0,0,352900.29,186385.71,36989.92,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351414.25,0,36989.92,8.44,0,0,0,0,134087.33,345335.78,0,36765.4,8.44,0,0,0,0,109384.58,344681.56,0,35530.37,8.44,0,0,0,0,111590.99,1763089.36,663937.36,0,700947.5,327264.36,0,1062141.85,471855.62,0,371.67
