#,Job_ID,WeatherFile,ModelFile,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,@@P11@@,@@P12@@,@@P13@@,@@P14@@,@@P15@@,@@location@@,c0: A1,c1: A2,c2: A3,c3: A4,c4: A5,c5: A6,c6: A7,c7: A8,c8: P1,c9: P2,c10: P3,c11: P4,c12: P5,c13: P6,c14: P7,c15: P8,c16: Ptimestamp,c17: SPC_SenI_Fac,c18: SPC_SenD_Fac,c19: SPC_Lat_Fac,c20: SPC_Tot_Fac,c21: Ptime_SPC,c22: SPC_SenSizing_Fac,c23: SPC_SenI2_Fac,c24: SPC_SenI+D_Fac,c25: SPC_AirFrac,c26: SPC_AirFlow,c27: SPC_AirFlowperSPC,c28: P1_June,c29: P2_June,c30: P3_June,c31: P4_June,c32: P5_June,c33: P6_June,c34: P7_June,c35: P8_June,c36: SPC_ET_June,c37: P1_July,c38: P2_July,c39: P3_July,c40: P4_July,c41: P5_July,c42: P6_July,c43: P7_July,c44: P8_July,c45: SPC_ET_July,c46: P1_August,c47: P2_August,c48: P3_August,c49: P4_August,c50: P5_August,c51: P6_August,c52: P7_August,c53: P8_August,c54: SPC_ET_August,c55: An_Tes1,c56: P_Test1,c57: P_Time_Test1,c58: An_Tes2,c59: P_Test2,c60: P_Time_Test2,c61: An_Tes3,c62: P_Test3,c63: P_Time_Test3,c64: Cooling_Not_Met
0,Case_C1_Small_0001,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.457142857,0.02,0.439285714,3.571428571,7.142857143,15.14285714,5,24.57142857,0,0.000885714,0.671428571,2.2,0,1,0,C1,121897.48,54035.56,11261.78,0,0,0,0,0,32722.64,19053.69,2277.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32722.64,0,2277.44,0,0,0,0,0,19663.64,31847.4,0,2277.44,0,0,0,0,0,20178.53,31579.21,0,2277.44,0,0,0,0,0,18858.04,143937.32,51244.32,0,77254.62,27073.79,0,66682.71,35498.52,0,0
1,Case_C1_Small_0002,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.457142857,0.02,0.439285714,3.571428571,7.142857143,15.14285714,5,21.71428571,0,0.000885714,0.671428571,2.2,0,1,0,C1,155144.53,78935.39,19609.01,0,0,0,0,0,41042.34,27491.25,4026.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41042.34,0,4026.17,0,0,0,0,0,17519.48,39898.99,0,4026.17,0,0,0,0,0,16919.54,39579.93,0,4026.17,0,0,0,0,0,19261.23,197844.15,85516.24,0,120205.68,36617.28,0,77638.48,60159.77,0,0
2,Case_C1_Small_0003,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.457142857,0.02,0.439285714,3.571428571,7.142857143,15.14285714,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,206994.81,130783.49,19611.18,0,0,0,0,0,53400.52,37982.84,4026.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53367.19,0,4026.17,0,0,0,0,0,22525.95,52162.67,0,4026.17,0,0,0,0,0,24120.31,52271.29,0,4026.17,0,0,0,0,0,25034.48,371552.79,106385.08,0,166473.09,54445.79,0,205079.7,68542.69,0,1776.17
3,Case_C1_Small_0004,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,1.457142857,0.02,0.196428571,3.571428571,7.142857143,15.14285714,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,198705.44,124616.29,17489.01,0,0,0,0,0,49980.94,34917.66,3671.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49824.46,0,3671.77,0,0,0,0,0,20992.42,49272.47,0,3671.77,0,0,0,0,0,20862.07,49620.36,0,3671.77,0,0,0,0,0,22906.29,360003.46,99520.96,0,158301.08,52519.44,0,201702.38,65646.29,0,1865.83
4,Case_C1_Small_0005,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,0.371428571,0.02,0.196428571,3.571428571,7.142857143,15.14285714,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,197224.82,123409.06,17215.62,0,0,0,0,0,49554.49,34531.89,3631.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49399.21,0,3631.09,0,0,0,0,0,20556.02,48854.69,0,3631.09,0,0,0,0,0,20526.4,49184.64,0,3631.09,0,0,0,0,0,22521.05,357345.05,98698.06,0,156639.97,52041.11,0,200705.07,65280.86,0,1885.33
5,Case_C1_Small_0006,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,0.371428571,0.02,0.196428571,3.571428571,7.142857143,6,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,157626.76,106436.56,14108.22,0,0,0,0,0,38500.34,28758.03,3024.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38370.76,0,3024.24,0,0,0,0,0,16883.49,37897.17,0,3024.24,0,0,0,0,0,15311.77,38365.54,0,3024.24,0,0,0,0,0,17190.98,319677.36,85793.71,0,134150.98,45657.05,0,185526.38,58977.94,0,2420.83
6,Case_C1_Small_0007,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,0.371428571,0.18,0.196428571,3.571428571,7.142857143,6,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,157811.46,106608.13,14121.35,0,0,0,0,0,38521.15,28776.87,3026.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38391.55,0,3026.21,0,0,0,0,0,16846.78,37917.75,0,3026.21,0,0,0,0,0,15320.07,38386.14,0,3026.21,0,0,0,0,0,17198.15,320155.1,85836.41,0,134393.13,45673.22,0,185761.96,59003.63,0,2420.33
7,Case_C1_Small_0008,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,0.371428571,0.18,0.196428571,3.571428571,15.71428571,6,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,191168.11,120439.97,16604.45,0,0,0,0,0,48155.76,33530.43,3525.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48005.92,0,3525.91,0,0,0,0,0,20194.21,47478.39,0,3525.91,0,0,0,0,0,19551.58,47857.06,0,3525.91,0,0,0,0,0,21542.5,350777.18,96501.44,0,152481.79,50970.33,0,198295.38,64286.93,0,1962.17
8,Case_C1_Small_0009,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,0.371428571,0.18,0.196428571,7,15.71428571,6,5,21.71428571,0,0.003628571,0.671428571,2.2,0,1,0,C1,195291.09,123554.62,17612.79,0,0,0,0,0,50090.33,35279.74,3711.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49933.19,0,3711.17,0,0,0,0,0,20921.35,49296.49,0,3711.17,0,0,0,0,0,20919.95,49429.55,0,3711.17,0,0,0,0,0,22794.89,356281.32,100163.16,0,156392.89,52242.49,0,199888.43,65913.02,0,1921.33
9,Case_C1_Small_0010,SGP_Singapore.epw,Small_Office_DOE_JP1_Sizing_File.imf,0.371428571,0.18,0.196428571,7,15.71428571,6,5,21.71428571,0,0.003628571,0.671428571,2.2,0,0.428571429,0,C1,187192.23,121268.07,17290.57,0,0,0,0,0,49945.14,35148.42,3697.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49788.36,0,3697.3,0,0,0,0,0,20800.9,49173.47,0,3697.3,0,0,0,0,0,20807.26,49295.53,0,3697.3,0,0,0,0,0,22616.06,350073.9,99877.31,0,152888.29,52105.77,0,197185.61,65791.29,0,1897.17
