#,Job_ID,WeatherFile,ModelFile,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,@@P11@@,@@P12@@,@@P13@@,@@P14@@,@@P15@@,@@location@@,c0: A1,c1: A2,c2: A3,c3: A4,c4: A5,c5: A6,c6: A7,c7: A8,c8: P1,c9: P2,c10: P3,c11: P4,c12: P5,c13: P6,c14: P7,c15: P8,c16: Ptimestamp,c17: SPC_SenI_Fac,c18: SPC_SenD_Fac,c19: SPC_Lat_Fac,c20: SPC_Tot_Fac,c21: Ptime_SPC,c22: SPC_SenSizing_Fac,c23: SPC_SenI2_Fac,c24: SPC_SenI+D_Fac,c25: SPC_AirFrac,c26: SPC_AirFlow,c27: SPC_AirFlowperSPC,c28: P1_June,c29: P2_June,c30: P3_June,c31: P4_June,c32: P5_June,c33: P6_June,c34: P7_June,c35: P8_June,c36: SPC_ET_June,c37: P1_July,c38: P2_July,c39: P3_July,c40: P4_July,c41: P5_July,c42: P6_July,c43: P7_July,c44: P8_July,c45: SPC_ET_July,c46: P1_August,c47: P2_August,c48: P3_August,c49: P4_August,c50: P5_August,c51: P6_August,c52: P7_August,c53: P8_August,c54: SPC_ET_August,c55: An_Tes1,c56: P_Test1,c57: P_Time_Test1,c58: An_Tes2,c59: P_Test2,c60: P_Time_Test2,c61: An_Tes3,c62: P_Test3,c63: P_Time_Test3,c64: Cooling_Not_Met
0,01_Mean_T_Case_Large_0001,CHN_Beijing.epw_AN_T-0.5_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5061296.57,579502.7,162703.88,271479.66,140173.97,0,0,0,2073425.89,579100.16,266461.4,70193.16,38634.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786528.08,493357.83,71796.29,63702.78,38634.65,0,0,0,1449053.02,1873966.81,558094.22,88008.24,70193.18,38634.65,0,0,0,1420141.89,2073425.89,579100.16,266461.4,70193.16,38634.65,0,0,0,1302755.44,3558178.55,3350062.67,0,2704473.72,2173030.89,0,0,0,0,5.83
1,01_Mean_T_Case_Large_0002,CHN_Beijing.epw_AN_T-0_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5006285.03,541922.13,160902.92,262227.34,133796.29,0,0,0,2047246.12,559803.11,262173.11,68519.84,37713.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764046.96,473786.21,71338.8,62171.88,37713.54,0,0,0,1435841.56,1847601.63,539320.59,83011.12,68519.86,37713.54,0,0,0,1399718.33,2047246.12,559803.11,262173.11,68519.84,37713.54,0,0,0,1311466.11,3388338.61,3273847,0,2600439.85,2147353.04,0,0,0,0,5.67
2,01_Mean_T_Case_Large_0003,CHN_Beijing.epw_AN_T-1.5_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5176847.58,659682.69,166442.11,290300.3,152986.12,0,0,0,2126324.16,621046.49,272140.51,73593.38,40507.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839127.75,539421.13,73413.01,66749.83,40507.27,0,0,0,1482436.96,1975883.81,599356.57,180049.19,73600.86,40507.27,0,0,0,1504439.69,2126324.16,621046.49,272140.51,73593.38,40507.27,0,0,0,1185503.73,3914500.03,3505311.97,0,2918830.95,2224189.98,0,0,0,0,6.33
3,01_Mean_T_Case_Large_0004,CHN_Beijing.epw_AN_T-1_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5117367.89,618861.47,164540.79,280000.14,146529.13,0,0,0,2099106.19,599228.88,269391.8,71883.71,39565.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811742.48,515435.95,72442.96,65261.78,39565.27,0,0,0,1464075.26,1914978.22,579911.24,141242.17,71889.61,39565.27,0,0,0,1490360.21,2099106.19,599228.88,269391.8,71883.71,39565.27,0,0,0,1270338.57,3733858.47,3424270.48,0,2810719.82,2207499.12,0,0,0,0,6.17
4,01_Mean_T_Case_Large_0005,CHN_Beijing.epw_AN_T-2.5_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5308611.56,750438.91,170595.57,312503.07,167637.65,0,0,0,2178847.14,663160,277117.42,77097.19,42436.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883402.84,577378.46,74855.25,69696.59,42436.01,0,0,0,1507567.79,2107835.68,639249.33,230015,77098.81,42436.01,0,0,0,1400230.52,2178847.14,663160,277117.42,77097.19,42436.01,0,0,0,1159196.74,4298546.88,3662819.93,0,3146644.84,2305093.64,0,0,0,0,7.33
5,01_Mean_T_Case_Large_0006,CHN_Beijing.epw_AN_T-2_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5240726.1,703459.07,168487.6,301303.96,160039.11,0,0,0,2152315.64,641850.18,274632.78,75331.88,41464.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861456.13,559262.41,73440.83,68252.09,41464.28,0,0,0,1490978.42,2050122.04,619716.02,231232.41,75339.4,41464.28,0,0,0,1504854.57,2152315.64,641850.18,274632.78,75331.88,41464.28,0,0,0,1177656.97,4102424.49,3581780.69,0,3030648.28,2260890.59,0,0,0,0,6.67
6,01_Mean_T_Case_Large_0007,CHN_Beijing.epw_AN_T-3.5_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5449954.85,849713.95,174823.13,334155.98,183825.43,0,0,0,2233598.19,707360.22,282073.93,80705.31,44422.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928203.64,615552.39,75554.59,73637.93,44422.21,0,0,0,1531255.48,2189965.63,682513.78,263286.14,80706.98,44422.21,0,0,0,1334769,2233598.19,707360.22,282073.93,80705.31,44422.21,0,0,0,1124765.26,4703568.91,3819571.24,0,3381853.63,2387794.16,0,0,0,0,10.5
7,01_Mean_T_Case_Large_0008,CHN_Beijing.epw_AN_T-3_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5376240.54,798398.43,172694.35,322342.75,175368.67,0,0,0,2205936.17,684991.85,279597.81,78888.12,43421.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906077.11,596231.07,75821.64,71566.02,43421.87,0,0,0,1525971.94,2150647.87,660617.97,248681.76,78889.74,43421.87,0,0,0,1361784.9,2205936.17,684991.85,279597.81,78888.12,43421.87,0,0,0,1142322.06,4497279.13,3740399.02,0,3262368.3,2348748.87,0,0,0,0,9.33
8,01_Mean_T_Case_Large_0009,CHN_Beijing.epw_AN_T-4.5_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5607535.01,961286.45,179320.64,358036.09,201455.48,0,0,0,2290705,753761.5,287016.9,84421.99,46468.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975728.01,655653.24,76663.9,77906.24,46468.1,0,0,0,1559387.9,2262149.38,727934.74,284286.43,84423.6,46468.1,0,0,0,1292221.78,2290705,753761.5,287016.9,84421.99,46468.1,0,0,0,1089042.17,5133316.93,3984673.66,0,3628072.24,2472459.01,0,0,0,0,12.33
9,01_Mean_T_Case_Large_0010,CHN_Beijing.epw_AN_T-4_Rm-1_Rd-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.25,6.92716,10.76,10.76,18.58,24,6.7,0.000673,0.000302,5.5,0.2,0,0,C4,5525448.19,903600.79,177021.45,345142.91,192246.68,0,0,0,2261848.04,730277.56,284546.78,82549.7,45437.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952905.07,635356.05,76922.68,76152.35,45437.48,0,0,0,1553971.39,2228315.74,704948.89,276341.5,82551.35,45437.48,0,0,0,1312857.71,2261848.04,730277.56,284546.78,82549.7,45437.48,0,0,0,1106534.7,4914913.92,3902292.78,0,3503112.12,2432605.4,0,0,0,0,11.5
